Store Name,Category,Product Name,Price,Rating,Number of Reviews,Calories
Pinches Tacos (Westwood),Pinches Postres,churros,5.75,100,21,
Tacos El Unico - Crenshaw,Churros,plain churros,1.5,,0,
Tacos El Unico - Crenshaw,Churros,bavarian cream churros,1.9,,0,
Tacos El Unico - Crenshaw,Churros,cajeta churros,1.9,,0,
Tacos El Unico - Crenshaw,Churros,6 mini churros,3.78,,0,
Churro Hub Cafe,Churros,half dozen churros and 1 drizzle,10.79,77,27,
Churro Hub Cafe,Churros,1 dozen churros and 2 drizzle,14.12,95,21,
Churro Hub Cafe,Churros,churro sundae,10.71,78,19,
Churro Hub Cafe,Churros,churro bites,5.21,,0,
Churro Hub Cafe,Churros,single churro,1.88,,0,
Azucanela (13307 Inglewood ),Churros,churro bites,7.42,100,10,
Azucanela (13307 Inglewood ),Churros,churro tradicional,7.42,,0,
Azucanela (13307 Inglewood ),Churros,churro bites with cajeta,7.71,100,11,
Azucanela (13307 Inglewood ),Churros,churro rellenos,8.12,,0,
Azucanela (13307 Inglewood ),Churros,churro frambuesa,7.92,100,4,
Azucanela (13307 Inglewood ),Churros,churro abuelita,7.92,100,7,
Azucanela (13307 Inglewood ),Churros,churro sundae,12.29,100,10,
Azucanela (13307 Inglewood ),Churros,churro donut,12.08,100,3,
Azucanela (13307 Inglewood ),Churros,churro bites with nutella stwb,7.08,100,7,
Azucanela (13307 Inglewood ),Churro Box and Coffee Cariers ***Great for gatherings and events***,churro box (dozen 12 count),21.66,,0,
Azucanela (13307 Inglewood ),Churro Box and Coffee Cariers ***Great for gatherings and events***,churro box (2dozen 24count),29.99,,0,
Azucanela (13307 Inglewood ),Churro Box and Coffee Cariers ***Great for gatherings and events***,cajeta (caramel) 5 oz dip great with churro box,5.21,,0,
Antojitos Martin - 1300 Centinela Ave,Churros,vip churro (2 scoops),8.33,,0,
Antojitos Martin - 1300 Centinela Ave,Churros,plain churro,2.92,,0,
Antojitos Martin - 1300 Centinela Ave,Churros,relleno bavarian cream churro,3.75,,0,
Antojitos Martin - 1300 Centinela Ave,Churros,relleno cajeta churro,3.75,,0,
Papillon International Bakery (Victory Blvd),Churro,original churro with nutella (box of 3),12.08,84,26,
Papillon International Bakery (Victory Blvd),Churro,strawberry churro with nutella (box of 3),12.08,85,7,
Papillon International Bakery (Victory Blvd),Churro,oreo churro with dulce de leche (box of 3),12.08,66,6,
Papillon International Bakery (Victory Blvd),Churro,1 individual churro,3.25,94,18,
Papillon International Bakery (Victory Blvd),Churro,original churro (box of 3),8.75,94,38,
Papillon International Bakery (Victory Blvd),Churro,oreo churro (box of 3),8.75,66,9,
Papillon International Bakery (Victory Blvd),Churro,oreo churro with nutella (box of 3),12.08,90,11,
Papillon International Bakery (Victory Blvd),Churro,strawberry churro (box of 3),8.75,100,11,
Papillon International Bakery (Victory Blvd),Churro,original churro with dulce de leche (box of 3),12.08,87,16,
Papillon International Bakery (Victory Blvd),Churro,strawberry churro with dulce de leche,12.08,87,8,
Get Baked,Freshly Made Churro,churros,4.58,,0,
Piroshki Bros,French Churros,large french churros,1.54,100,4,
Piroshki Bros,French Churros,mini french churros,5.42,,0,
Otro Dia Tacos,Churros,churros,4.16,96,65,
Mission Burrito (Winnetka),Desserts,churro,2.46,100,16,
F*ck Dinner (687 South Hobart Boulevard suite D),Churro Fries,black & white churros,8.33,,0,
F*ck Dinner (687 South Hobart Boulevard suite D),Churro Fries,loaded churros,9.58,,0,
F*ck Dinner (687 South Hobart Boulevard suite D),Churro Fries,unicorn churros,8.33,,0,
Subway (1165 Westwood Blvd),Sidekicks,cinnabon® footlong churro,3.08,,0,
Rubio’s Coastal Grill (308 Westwood Plz),DESSERTS,warm cinnamon churro,3.43,,0,310
The Boil Daddy - DTLA,Daddy's Sweet Tooth,sugar daddy churros,8.33,,0,
Chile Verde - Inglewood,Desserts.,churro,1.62,86,136,
Benny's Tacos & Chicken Rotisserie - Culver City,Churros,1 churro,2.96,,0,
Benny's Tacos & Chicken Rotisserie - Culver City,Churros,3 churros,7.46,,0,
"El Pollo Loco (11870 Santa Monica Blvd,5479)","Sides, Drinks & More",two churros,2.91,91,127,300
Mexicano Taco,Dessert,strawberry filled churro's (2pcs),4.17,,0,
Mexicano Taco,Dessert,caramel filled churro's (2pcs),4.17,,0,
Mexicano Taco,Dessert,cinnamon rolled churro (1pc),2.5,,0,
Mexicano Taco,Dessert,cinnamon rolled churros (2pcs),4.17,,0,
Mexicano Taco,Dessert,strawberry filled churro (1pc),2.5,,0,
Mexicano Taco,Dessert,caramel filled churro (1pc),2.5,,0,
Mexicano Taco,Dessert,bavarian creme filled churro (1pc),2.5,,0,
Mexicano Taco,Dessert,bavarian creme filled churro's (2pcs),4.17,,0,
Baja Fresh Mexican Grill - Venice Blvd,Sides for One,churro,2.5,90,44,210
The Angry Avocado,Potres/Desserts,churros,7.78,,0,
The Burrito Grill,Potres/Desserts,churros,7.78,,0,
Jack in the Box (10967 Santa Monica Blvd),Shakes & Desserts,mini churros (5),2.91,86,123,
Lito's Burritos,Dessert,cinnamon rolled churro (1pc),2.5,,0,
Lito's Burritos,Dessert,cinnamon rolled churro's (2pcs),4.17,,0,
Lito's Burritos,Dessert,strawberry filled churro (1pc),2.5,,0,
Lito's Burritos,Dessert,strawberry filled churro's (2pcs),4.17,,0,
Lito's Burritos,Dessert,caramel filled churro (1pc),2.5,,0,
Lito's Burritos,Dessert,caramel filled churro's (2pcs),4.17,,0,
Lito's Burritos,Dessert,bavarian creme filled churro (1pc),2.5,,0,
Lito's Burritos,Dessert,bavarian creme filled churro's (2pcs),4.17,,0,
Del Taco (2425 Wilshire Blvd. | 1231),Desserts & Shakes,mini cinnamon churros 2 pc.,1.91,86,29,200
Mexican Burrito & Beyond (5660 Selmaraine Drive),DESSERTS,churros,5.79,,0,
Happy Munchies (5660 Selmaraine Dr),Munchies Desserts,munchies churros,5.79,,0,
Taco Street,Potres/Desserts,churros,7.78,,0,
El Californio Taqueria,Dessert,cinnamon rolled churro (1pc),2.5,,0,
El Californio Taqueria,Dessert,strawberry filled churro (1pc),2.5,,0,
El Californio Taqueria,Dessert,caramel filled churro (1pc),2.5,,0,
El Californio Taqueria,Dessert,cinnamon rolled churro's (2pcs),4.17,,0,
El Californio Taqueria,Dessert,strawberry filled churro's (2pcs),4.17,,0,
El Californio Taqueria,Dessert,caramel filled churro's (2pcs),4.17,,0,
El Californio Taqueria,Dessert,bavarian creme filled churro (1pc),2.5,,0,
El Californio Taqueria,Dessert,bavarian creme filled churro's (2pcs),4.17,,0,
Pancho's Tacos,Dessert,churro,1.25,95,45,
Rocket Waffle Haus (358 W 38th St),Featured Items,churro waffles,13.33,,0,
Mama Chuy (Burbank Boulevard),Mains,churros,6.67,,0,
Hugo's Tacos (Studio City),Side Orders,churros,4.08,95,184,
Hugo's Tacos (Studio City),Party Packs,churro party pack (25 churros),29.16,,0,
Hugo's Tacos (Studio City),Party Packs,churro party pack (50 churros),45.83,,0,
Auntie Anne's & Cinnabon (10250 Santa Monica Blvd),Featured Products,churro chillatta®,7.49,,0,
Wake Up Burrito,Desserts,"waffle churros (belgian waffle, cinnamon. sugar)",5.83,,0,
Wake Up Burrito,Desserts,churro bites,7.49,,0,
La Esquina,Dessert,churros with ice cream,5,100,22,
Chulita Venice,Desserts,vegan churros,10,,0,
